stress_def,model,fold_id,n_train,n_test,auc,pr_auc,brier,ece,threshold,alarm_rate,alarm_precision,drawdown_lift,severity_lift,n_alarms,n_events,n_test_eff,seed,crisis,configuration,is_recovery,auc_full_window,auc_first30,auc_rest,n_train_rows_after_dropna,n_trees_built,calm_mean_score,calm_max_score
h5_d03,NaiveBaseRate,1,2229,253,0.5,0.20553359683794467,0.18011547817156595,0.1297148440339967,0.07581875280394795,0.0,,,,0,52,253,42,crisis_2020,spx_full,False,0.5,,0.5,1574,,0.061626429479034316,0.06162642947903431
h5_d03,NaiveBaseRate,1,2229,253,0.5,0.20553359683794467,0.18011547817156595,0.1297148440339967,0.07581875280394795,0.0,,,,0,52,253,43,crisis_2020,spx_full,False,0.5,,0.5,1574,,0.061626429479034316,0.06162642947903431
h5_d03,NaiveBaseRate,1,2229,253,0.5,0.20553359683794467,0.18011547817156595,0.1297148440339967,0.07581875280394795,0.0,,,,0,52,253,44,crisis_2020,spx_full,False,0.5,,0.5,1574,,0.061626429479034316,0.06162642947903431
h5_d03,NaiveBaseRate,1,2229,253,0.5,0.20553359683794467,0.18011547817156595,0.1297148440339967,0.07581875280394795,0.0,,,,0,52,253,45,crisis_2020,spx_full,False,0.5,,0.5,1574,,0.061626429479034316,0.06162642947903431
h5_d03,NaiveBaseRate,1,2229,253,0.5,0.20553359683794467,0.18011547817156595,0.1297148440339967,0.07581875280394795,0.0,,,,0,52,253,46,crisis_2020,spx_full,False,0.5,,0.5,1574,,0.061626429479034316,0.06162642947903431
h5_d03,VIXPercentileRaw,1,2229,253,0.6788652889399158,0.379568304924152,0.6367531868278612,0.6746923858516112,0.9500224315836698,0.4980237154150198,0.2777777777777778,1.295100363551508,1.0608346930628059,126,52,253,42,crisis_2020,spx_full,False,0.6788652889399158,,0.6283738191632928,1574,,0.6019377382465056,0.9104193138500636
h5_d03,VIXPercentileRaw,1,2229,253,0.6788652889399158,0.379568304924152,0.6367531868278612,0.6746923858516112,0.9500224315836698,0.4980237154150198,0.2777777777777778,1.295100363551508,1.0608346930628059,126,52,253,43,crisis_2020,spx_full,False,0.6788652889399158,,0.6283738191632928,1574,,0.6019377382465056,0.9104193138500636
h5_d03,VIXPercentileRaw,1,2229,253,0.6788652889399158,0.379568304924152,0.6367531868278612,0.6746923858516112,0.9500224315836698,0.4980237154150198,0.2777777777777778,1.295100363551508,1.0608346930628059,126,52,253,44,crisis_2020,spx_full,False,0.6788652889399158,,0.6283738191632928,1574,,0.6019377382465056,0.9104193138500636
h5_d03,VIXPercentileRaw,1,2229,253,0.6788652889399158,0.379568304924152,0.6367531868278612,0.6746923858516112,0.9500224315836698,0.4980237154150198,0.2777777777777778,1.295100363551508,1.0608346930628059,126,52,253,45,crisis_2020,spx_full,False,0.6788652889399158,,0.6283738191632928,1574,,0.6019377382465056,0.9104193138500636
h5_d03,VIXPercentileRaw,1,2229,253,0.6788652889399158,0.379568304924152,0.6367531868278612,0.6746923858516112,0.9500224315836698,0.4980237154150198,0.2777777777777778,1.295100363551508,1.0608346930628059,126,52,253,46,crisis_2020,spx_full,False,0.6788652889399158,,0.6283738191632928,1574,,0.6019377382465056,0.9104193138500636
h5_d03,VIXPercentileCalibrated,1,2229,253,0.676903941829315,0.3045769372211603,0.1550248637059767,0.05678122844498319,0.22413793103448276,0.30434782608695654,0.33766233766233766,1.692838472529643,1.170701526288169,77,52,253,42,crisis_2020,spx_full,False,0.676903941829315,,0.6265182186234818,1574,,0.07017842144276677,0.16312056737588654
h5_d03,VIXPercentileCalibrated,1,2229,253,0.676903941829315,0.3045769372211603,0.1550248637059767,0.05678122844498319,0.22413793103448276,0.30434782608695654,0.33766233766233766,1.692838472529643,1.170701526288169,77,52,253,43,crisis_2020,spx_full,False,0.676903941829315,,0.6265182186234818,1574,,0.07017842144276677,0.16312056737588654
h5_d03,VIXPercentileCalibrated,1,2229,253,0.676903941829315,0.3045769372211603,0.1550248637059767,0.05678122844498319,0.22413793103448276,0.30434782608695654,0.33766233766233766,1.692838472529643,1.170701526288169,77,52,253,44,crisis_2020,spx_full,False,0.676903941829315,,0.6265182186234818,1574,,0.07017842144276677,0.16312056737588654
h5_d03,VIXPercentileCalibrated,1,2229,253,0.676903941829315,0.3045769372211603,0.1550248637059767,0.05678122844498319,0.22413793103448276,0.30434782608695654,0.33766233766233766,1.692838472529643,1.170701526288169,77,52,253,45,crisis_2020,spx_full,False,0.676903941829315,,0.6265182186234818,1574,,0.07017842144276677,0.16312056737588654
h5_d03,VIXPercentileCalibrated,1,2229,253,0.676903941829315,0.3045769372211603,0.1550248637059767,0.05678122844498319,0.22413793103448276,0.30434782608695654,0.33766233766233766,1.692838472529643,1.170701526288169,77,52,253,46,crisis_2020,spx_full,False,0.676903941829315,,0.6265182186234818,1574,,0.07017842144276677,0.16312056737588654
h5_d03,HarRvThreshold,1,2229,253,0.6339707778255265,0.38748754182820727,0.1961251703644476,0.15141270706200388,0.16171510280280088,0.30735930735930733,0.352112676056338,1.7457917938580922,1.2428685498275365,71,52,231,42,crisis_2020,spx_full,False,0.6339707778255265,0.735,0.5796042899408285,1574,,0.05337018929775342,0.23045948485542084
h5_d03,HarRvThreshold,1,2229,253,0.6339707778255265,0.38748754182820727,0.1961251703644476,0.15141270706200388,0.16171510280280088,0.30735930735930733,0.352112676056338,1.7457917938580922,1.2428685498275365,71,52,231,43,crisis_2020,spx_full,False,0.6339707778255265,0.735,0.5796042899408285,1574,,0.05337018929775342,0.23045948485542084
h5_d03,HarRvThreshold,1,2229,253,0.6339707778255265,0.38748754182820727,0.1961251703644476,0.15141270706200388,0.16171510280280088,0.30735930735930733,0.352112676056338,1.7457917938580922,1.2428685498275365,71,52,231,44,crisis_2020,spx_full,False,0.6339707778255265,0.735,0.5796042899408285,1574,,0.05337018929775342,0.23045948485542084
h5_d03,HarRvThreshold,1,2229,253,0.6339707778255265,0.38748754182820727,0.1961251703644476,0.15141270706200388,0.16171510280280088,0.30735930735930733,0.352112676056338,1.7457917938580922,1.2428685498275365,71,52,231,45,crisis_2020,spx_full,False,0.6339707778255265,0.735,0.5796042899408285,1574,,0.05337018929775342,0.23045948485542084
h5_d03,HarRvThreshold,1,2229,253,0.6339707778255265,0.38748754182820727,0.1961251703644476,0.15141270706200388,0.16171510280280088,0.30735930735930733,0.352112676056338,1.7457917938580922,1.2428685498275365,71,52,231,46,crisis_2020,spx_full,False,0.6339707778255265,0.735,0.5796042899408285,1574,,0.05337018929775342,0.23045948485542084
h5_d03,LogisticRegressionL2,1,2229,253,,,,,0.8465133742679907,,,,,0,0,0,42,crisis_2020,spx_full,False,,,,1574,,0.3646299445865627,0.8296275366348822
h5_d03,LogisticRegressionL2,1,2229,253,,,,,0.8465133742679907,,,,,0,0,0,43,crisis_2020,spx_full,False,,,,1574,,0.3646299445865627,0.8296275366348822
h5_d03,LogisticRegressionL2,1,2229,253,,,,,0.8465133742679907,,,,,0,0,0,44,crisis_2020,spx_full,False,,,,1574,,0.3646299445865627,0.8296275366348822
h5_d03,LogisticRegressionL2,1,2229,253,,,,,0.8465133742679907,,,,,0,0,0,45,crisis_2020,spx_full,False,,,,1574,,0.3646299445865627,0.8296275366348822
h5_d03,LogisticRegressionL2,1,2229,253,,,,,0.8465133742679907,,,,,0,0,0,46,crisis_2020,spx_full,False,,,,1574,,0.3646299445865627,0.8296275366348822
h5_d03,LightGbmTuned,1,2229,253,,,,,0.7012452644509513,,,,,0,0,0,42,crisis_2020,spx_full,False,,,,1574,50.0,0.35877381402187514,0.677771516059182
h5_d03,LightGbmTuned,1,2229,253,,,,,0.7012452644509513,,,,,0,0,0,43,crisis_2020,spx_full,False,,,,1574,50.0,0.35877381402187514,0.677771516059182
h5_d03,LightGbmTuned,1,2229,253,,,,,0.7012452644509513,,,,,0,0,0,44,crisis_2020,spx_full,False,,,,1574,50.0,0.35877381402187514,0.677771516059182
