stress_def,model,fold_id,n_train,n_test,auc,pr_auc,brier,ece,threshold,alarm_rate,alarm_precision,drawdown_lift,severity_lift,n_alarms,n_events,n_test_eff,seed
h10_d05,LogisticRegressionL2,1,971,124,0.6422764227642277,0.022222222222222223,0.12530078278113324,0.21319025949233186,0.8052408777104858,0.04032258064516129,0.0,1.2559246420646084,,5,1,124,42
h10_d05,LogisticRegressionL2,1,971,124,0.6422764227642277,0.022222222222222223,0.12530078278113324,0.21319025949233186,0.8052408777104858,0.04032258064516129,0.0,1.2559246420646084,,5,1,124,43
h10_d05,LogisticRegressionL2,1,971,124,0.6422764227642277,0.022222222222222223,0.12530078278113324,0.21319025949233186,0.8052408777104858,0.04032258064516129,0.0,1.2559246420646084,,5,1,124,44
h10_d05,LogisticRegressionL2,1,971,124,0.6422764227642277,0.022222222222222223,0.12530078278113324,0.21319025949233186,0.8052408777104858,0.04032258064516129,0.0,1.2559246420646084,,5,1,124,45
h10_d05,LogisticRegressionL2,1,971,124,0.6422764227642277,0.022222222222222223,0.12530078278113324,0.21319025949233186,0.8052408777104858,0.04032258064516129,0.0,1.2559246420646084,,5,1,124,46
h10_d05,LightGbmTuned,1,971,124,0.7154471544715447,0.027777777777777776,0.1322402384873759,0.2863670249870928,0.5952076398684993,0.10483870967741936,0.0,0.5999498563688705,,13,1,124,42
h10_d05,LightGbmTuned,1,971,124,0.7154471544715447,0.027777777777777776,0.1322402384873759,0.2863670249870928,0.5952076398684993,0.10483870967741936,0.0,0.5999498563688705,,13,1,124,43
h10_d05,LightGbmTuned,1,971,124,0.7154471544715447,0.027777777777777776,0.1322402384873759,0.2863670249870928,0.5952076398684993,0.10483870967741936,0.0,0.5999498563688705,,13,1,124,44
h10_d05,LightGbmTuned,1,971,124,0.7154471544715447,0.027777777777777776,0.1322402384873759,0.2863670249870928,0.5952076398684993,0.10483870967741936,0.0,0.5999498563688705,,13,1,124,45
h10_d05,LightGbmTuned,1,971,124,0.7154471544715447,0.027777777777777776,0.1322402384873759,0.2863670249870928,0.5952076398684993,0.10483870967741936,0.0,0.5999498563688705,,13,1,124,46
h10_d05,LogisticRegressionL2,2,1095,127,0.6871345029239766,0.27109626562345795,0.13418384005133188,0.1275757433458313,0.7879754862171798,0.0,,,,0,19,127,42
h10_d05,LogisticRegressionL2,2,1095,127,0.6871345029239766,0.27109626562345795,0.13418384005133188,0.1275757433458313,0.7879754862171798,0.0,,,,0,19,127,43
h10_d05,LogisticRegressionL2,2,1095,127,0.6871345029239766,0.27109626562345795,0.13418384005133188,0.1275757433458313,0.7879754862171798,0.0,,,,0,19,127,44
h10_d05,LogisticRegressionL2,2,1095,127,0.6871345029239766,0.27109626562345795,0.13418384005133188,0.1275757433458313,0.7879754862171798,0.0,,,,0,19,127,45
h10_d05,LogisticRegressionL2,2,1095,127,0.6871345029239766,0.27109626562345795,0.13418384005133188,0.1275757433458313,0.7879754862171798,0.0,,,,0,19,127,46
h10_d05,LightGbmTuned,2,1095,127,0.5219298245614035,0.15329668760883536,0.19719092050961176,0.1895877725248138,0.6577573742142784,0.07874015748031496,0.0,0.5334702247107846,,10,19,127,42
h10_d05,LightGbmTuned,2,1095,127,0.5219298245614035,0.15329668760883536,0.19719092050961176,0.1895877725248138,0.6577573742142784,0.07874015748031496,0.0,0.5334702247107846,,10,19,127,43
