stress_def,model,fold_id,n_train,n_test,auc,pr_auc,brier,ece,threshold,alarm_rate,alarm_precision,drawdown_lift,severity_lift,n_alarms,n_events,n_test_eff,seed
h10_d05,LogisticRegressionL2,1,907,114,,,0.2700688306330929,0.3919502663494585,0.8372428319856566,0.16666666666666666,0.0,0.5579334122787972,,19,0,114,42
h10_d05,LogisticRegressionL2,1,907,114,,,0.2700688306330929,0.3919502663494585,0.8372428319856566,0.16666666666666666,0.0,0.5579334122787972,,19,0,114,43
h10_d05,LogisticRegressionL2,1,907,114,,,0.2700688306330929,0.3919502663494585,0.8372428319856566,0.16666666666666666,0.0,0.5579334122787972,,19,0,114,44
h10_d05,LogisticRegressionL2,1,907,114,,,0.2700688306330929,0.3919502663494585,0.8372428319856566,0.16666666666666666,0.0,0.5579334122787972,,19,0,114,45
h10_d05,LogisticRegressionL2,1,907,114,,,0.2700688306330929,0.3919502663494585,0.8372428319856566,0.16666666666666666,0.0,0.5579334122787972,,19,0,114,46
h10_d05,LightGbmTuned,1,907,114,,,0.11213411324120871,0.2627300261204491,0.4134424561990183,0.17543859649122806,0.0,0.6401719824012131,,20,0,114,42
h10_d05,LightGbmTuned,1,907,114,,,0.11213411324120871,0.2627300261204491,0.4134424561990183,0.17543859649122806,0.0,0.6401719824012131,,20,0,114,43
h10_d05,LightGbmTuned,1,907,114,,,0.11213411324120871,0.2627300261204491,0.4134424561990183,0.17543859649122806,0.0,0.6401719824012131,,20,0,114,44
h10_d05,LightGbmTuned,1,907,114,,,0.11213411324120871,0.2627300261204491,0.4134424561990183,0.17543859649122806,0.0,0.6401719824012131,,20,0,114,45
h10_d05,LightGbmTuned,1,907,114,,,0.11213411324120871,0.2627300261204491,0.4134424561990183,0.17543859649122806,0.0,0.6401719824012131,,20,0,114,46
h10_d05,LogisticRegressionL2,2,1021,124,0.6048218029350104,0.2724197906615099,0.15536369479780734,0.17033119803470528,0.851314893341964,0.024193548387096774,0.6666666666666666,2.3607713520296953,0.9776909346948754,3,18,124,42
h10_d05,LogisticRegressionL2,2,1021,124,0.6048218029350104,0.2724197906615099,0.15536369479780734,0.17033119803470528,0.851314893341964,0.024193548387096774,0.6666666666666666,2.3607713520296953,0.9776909346948754,3,18,124,43
h10_d05,LogisticRegressionL2,2,1021,124,0.6048218029350104,0.2724197906615099,0.15536369479780734,0.17033119803470528,0.851314893341964,0.024193548387096774,0.6666666666666666,2.3607713520296953,0.9776909346948754,3,18,124,44
h10_d05,LogisticRegressionL2,2,1021,124,0.6048218029350104,0.2724197906615099,0.15536369479780734,0.17033119803470528,0.851314893341964,0.024193548387096774,0.6666666666666666,2.3607713520296953,0.9776909346948754,3,18,124,45
h10_d05,LogisticRegressionL2,2,1021,124,0.6048218029350104,0.2724197906615099,0.15536369479780734,0.17033119803470528,0.851314893341964,0.024193548387096774,0.6666666666666666,2.3607713520296953,0.9776909346948754,3,18,124,46
h10_d05,LightGbmTuned,2,1021,124,0.5442872117400419,0.25987823748433836,0.13320164212755328,0.08407867672797595,0.5513332632284343,0.04032258064516129,0.4,2.2440620799890247,1.303367596569362,5,18,124,42
h10_d05,LightGbmTuned,2,1021,124,0.5442872117400419,0.25987823748433836,0.13320164212755328,0.08407867672797595,0.5513332632284343,0.04032258064516129,0.4,2.2440620799890247,1.303367596569362,5,18,124,43
h10_d05,LightGbmTuned,2,1021,124,0.5442872117400419,0.25987823748433836,0.13320164212755328,0.08407867672797595,0.5513332632284343,0.04032258064516129,0.4,2.2440620799890247,1.303367596569362,5,18,124,44
h10_d05,LightGbmTuned,2,1021,124,0.5442872117400419,0.25987823748433836,0.13320164212755328,0.08407867672797595,0.5513332632284343,0.04032258064516129,0.4,2.2440620799890247,1.303367596569362,5,18,124,45
h10_d05,LightGbmTuned,2,1021,124,0.5442872117400419,0.25987823748433836,0.13320164212755328,0.08407867672797595,0.5513332632284343,0.04032258064516129,0.4,2.2440620799890247,1.303367596569362,5,18,124,46
h10_d05,LogisticRegressionL2,3,1145,122,0.6782608695652174,0.3823832981468449,0.22825819968718383,0.29972115033677255,0.8211227163628974,0.13114754098360656,0.1875,1.5937926824803694,0.9912742202452363,16,7,122,42
h10_d05,LogisticRegressionL2,3,1145,122,0.6782608695652174,0.3823832981468449,0.22825819968718383,0.29972115033677255,0.8211227163628974,0.13114754098360656,0.1875,1.5937926824803694,0.9912742202452363,16,7,122,43
h10_d05,LogisticRegressionL2,3,1145,122,0.6782608695652174,0.3823832981468449,0.22825819968718383,0.29972115033677255,0.8211227163628974,0.13114754098360656,0.1875,1.5937926824803694,0.9912742202452363,16,7,122,44
h10_d05,LogisticRegressionL2,3,1145,122,0.6782608695652174,0.3823832981468449,0.22825819968718383,0.29972115033677255,0.8211227163628974,0.13114754098360656,0.1875,1.5937926824803694,0.9912742202452363,16,7,122,45
h10_d05,LogisticRegressionL2,3,1145,122,0.6782608695652174,0.3823832981468449,0.22825819968718383,0.29972115033677255,0.8211227163628974,0.13114754098360656,0.1875,1.5937926824803694,0.9912742202452363,16,7,122,46
h10_d05,LightGbmTuned,3,1145,122,0.7503105590062111,0.1733042535022733,0.10763341037085652,0.19135470626765616,0.7064709170391881,0.02459016393442623,0.3333333333333333,1.618897692963418,1.2256891817606197,3,7,122,42
h10_d05,LightGbmTuned,3,1145,122,0.7503105590062111,0.1733042535022733,0.10763341037085652,0.19135470626765616,0.7064709170391881,0.02459016393442623,0.3333333333333333,1.618897692963418,1.2256891817606197,3,7,122,43
h10_d05,LightGbmTuned,3,1145,122,0.7503105590062111,0.1733042535022733,0.10763341037085652,0.19135470626765616,0.7064709170391881,0.02459016393442623,0.3333333333333333,1.618897692963418,1.2256891817606197,3,7,122,44
h10_d05,LightGbmTuned,3,1145,122,0.7503105590062111,0.1733042535022733,0.10763341037085652,0.19135470626765616,0.7064709170391881,0.02459016393442623,0.3333333333333333,1.618897692963418,1.2256891817606197,3,7,122,45
h10_d05,LightGbmTuned,3,1145,122,0.7503105590062111,0.1733042535022733,0.10763341037085652,0.19135470626765616,0.7064709170391881,0.02459016393442623,0.3333333333333333,1.618897692963418,1.2256891817606197,3,7,122,46
h10_d05,LogisticRegressionL2,4,1267,118,,,0.3655025662712684,0.4992569501683388,0.8262286373502536,0.2542372881355932,0.0,0.90180532793689,,30,0,118,42
h10_d05,LogisticRegressionL2,4,1267,118,,,0.3655025662712684,0.4992569501683388,0.8262286373502536,0.2542372881355932,0.0,0.90180532793689,,30,0,118,43
h10_d05,LogisticRegressionL2,4,1267,118,,,0.3655025662712684,0.4992569501683388,0.8262286373502536,0.2542372881355932,0.0,0.90180532793689,,30,0,118,44
h10_d05,LogisticRegressionL2,4,1267,118,,,0.3655025662712684,0.4992569501683388,0.8262286373502536,0.2542372881355932,0.0,0.90180532793689,,30,0,118,45
h10_d05,LogisticRegressionL2,4,1267,118,,,0.3655025662712684,0.4992569501683388,0.8262286373502536,0.2542372881355932,0.0,0.90180532793689,,30,0,118,46
h10_d05,LightGbmTuned,4,1267,118,,,0.18076826060548795,0.3869454064456189,0.724387414853856,0.05084745762711865,0.0,0.7973079489342326,,6,0,118,42
h10_d05,LightGbmTuned,4,1267,118,,,0.18076826060548795,0.3869454064456189,0.724387414853856,0.05084745762711865,0.0,0.7973079489342326,,6,0,118,43
h10_d05,LightGbmTuned,4,1267,118,,,0.18076826060548795,0.3869454064456189,0.724387414853856,0.05084745762711865,0.0,0.7973079489342326,,6,0,118,44
h10_d05,LightGbmTuned,4,1267,118,,,0.18076826060548795,0.3869454064456189,0.724387414853856,0.05084745762711865,0.0,0.7973079489342326,,6,0,118,45
h10_d05,LightGbmTuned,4,1267,118,,,0.18076826060548795,0.3869454064456189,0.724387414853856,0.05084745762711865,0.0,0.7973079489342326,,6,0,118,46
h10_d05,LogisticRegressionL2,5,1385,118,,,0.13185452685577786,0.30754900186601036,0.7985092402587548,0.01694915254237288,0.0,0.5924494930770015,,2,0,118,42
h10_d05,LogisticRegressionL2,5,1385,118,,,0.13185452685577786,0.30754900186601036,0.7985092402587548,0.01694915254237288,0.0,0.5924494930770015,,2,0,118,43
h10_d05,LogisticRegressionL2,5,1385,118,,,0.13185452685577786,0.30754900186601036,0.7985092402587548,0.01694915254237288,0.0,0.5924494930770015,,2,0,118,44
