stress_def,model,fold_id,n_train,n_test,auc,pr_auc,brier,ece,threshold,alarm_rate,alarm_precision,drawdown_lift,severity_lift,n_alarms,n_events,n_test_eff,seed
h10_d05,LogisticRegressionL2,1,971,124,,,,,,,,,,0,0,0,42
h10_d05,LogisticRegressionL2,1,971,124,,,,,,,,,,0,0,0,43
h10_d05,LogisticRegressionL2,1,971,124,,,,,,,,,,0,0,0,44
h10_d05,LogisticRegressionL2,1,971,124,,,,,,,,,,0,0,0,45
h10_d05,LogisticRegressionL2,1,971,124,,,,,,,,,,0,0,0,46
h10_d05,LightGbmTuned,1,971,124,,,,,,,,,,0,0,0,42
h10_d05,LightGbmTuned,1,971,124,,,,,,,,,,0,0,0,43
h10_d05,LightGbmTuned,1,971,124,,,,,,,,,,0,0,0,44
h10_d05,LightGbmTuned,1,971,124,,,,,,,,,,0,0,0,45
h10_d05,LightGbmTuned,1,971,124,,,,,,,,,,0,0,0,46
h10_d05,LogisticRegressionL2,2,1095,127,,,,,,,,,,0,0,0,42
h10_d05,LogisticRegressionL2,2,1095,127,,,,,,,,,,0,0,0,43
h10_d05,LogisticRegressionL2,2,1095,127,,,,,,,,,,0,0,0,44
h10_d05,LogisticRegressionL2,2,1095,127,,,,,,,,,,0,0,0,45
h10_d05,LogisticRegressionL2,2,1095,127,,,,,,,,,,0,0,0,46
h10_d05,LightGbmTuned,2,1095,127,,,,,,,,,,0,0,0,42
h10_d05,LightGbmTuned,2,1095,127,,,,,,,,,,0,0,0,43
h10_d05,LightGbmTuned,2,1095,127,,,,,,,,,,0,0,0,44
h10_d05,LightGbmTuned,2,1095,127,,,,,,,,,,0,0,0,45
h10_d05,LightGbmTuned,2,1095,127,,,,,,,,,,0,0,0,46
h10_d05,LogisticRegressionL2,3,1222,126,,,,,,,,,,0,0,0,42
h10_d05,LogisticRegressionL2,3,1222,126,,,,,,,,,,0,0,0,43
h10_d05,LogisticRegressionL2,3,1222,126,,,,,,,,,,0,0,0,44
h10_d05,LogisticRegressionL2,3,1222,126,,,,,,,,,,0,0,0,45
h10_d05,LogisticRegressionL2,3,1222,126,,,,,,,,,,0,0,0,46
