corruption_type,rate,seed,precision,recall,f1,n_flagged_truth,n_flagged_validator,n_true_positive,gap_mechanism
calendar_gaps,0.01,42,,,,0,0,0,removed_before_inspection
calendar_gaps,0.01,43,,,,0,0,0,removed_before_inspection
calendar_gaps,0.01,44,,,,0,0,0,removed_before_inspection
calendar_gaps,0.01,45,,,,0,0,0,removed_before_inspection
calendar_gaps,0.01,46,,,,0,0,0,removed_before_inspection
calendar_gaps,0.05,42,,,,0,0,0,removed_before_inspection
calendar_gaps,0.05,43,,,,0,0,0,removed_before_inspection
calendar_gaps,0.05,44,,,,0,0,0,removed_before_inspection
calendar_gaps,0.05,45,,,,0,0,0,removed_before_inspection
calendar_gaps,0.05,46,,,,0,0,0,removed_before_inspection
calendar_gaps,0.1,42,,,,0,0,0,removed_before_inspection
calendar_gaps,0.1,43,,,,0,0,0,removed_before_inspection
calendar_gaps,0.1,44,,,,0,0,0,removed_before_inspection
calendar_gaps,0.1,45,,,,0,0,0,removed_before_inspection
calendar_gaps,0.1,46,,,,0,0,0,removed_before_inspection
duplicate_dates,0.01,42,1.0,1.0,1.0,76,76,76,detected
duplicate_dates,0.01,43,1.0,1.0,1.0,76,76,76,detected
duplicate_dates,0.01,44,1.0,1.0,1.0,76,76,76,detected
duplicate_dates,0.01,45,1.0,1.0,1.0,76,76,76,detected
duplicate_dates,0.01,46,1.0,1.0,1.0,76,76,76,detected
duplicate_dates,0.05,42,1.0,1.0,1.0,382,382,382,detected
duplicate_dates,0.05,43,1.0,1.0,1.0,382,382,382,detected
duplicate_dates,0.05,44,1.0,1.0,1.0,382,382,382,detected
duplicate_dates,0.05,45,1.0,1.0,1.0,382,382,382,detected
duplicate_dates,0.05,46,1.0,1.0,1.0,382,382,382,detected
duplicate_dates,0.1,42,1.0,1.0,1.0,764,764,764,detected
duplicate_dates,0.1,43,1.0,1.0,1.0,764,764,764,detected
duplicate_dates,0.1,44,1.0,1.0,1.0,764,764,764,detected
duplicate_dates,0.1,45,1.0,1.0,1.0,764,764,764,detected
duplicate_dates,0.1,46,1.0,1.0,1.0,764,764,764,detected
extreme_jumps,0.01,42,,0.0,0.0,38,0,0,silent_ignore
extreme_jumps,0.01,43,,0.0,0.0,38,0,0,silent_ignore
extreme_jumps,0.01,44,,0.0,0.0,38,0,0,silent_ignore
extreme_jumps,0.01,45,,0.0,0.0,38,0,0,silent_ignore
extreme_jumps,0.01,46,,0.0,0.0,38,0,0,silent_ignore
extreme_jumps,0.05,42,,0.0,0.0,191,0,0,silent_ignore
extreme_jumps,0.05,43,,0.0,0.0,191,0,0,silent_ignore
extreme_jumps,0.05,44,,0.0,0.0,191,0,0,silent_ignore
extreme_jumps,0.05,45,,0.0,0.0,191,0,0,silent_ignore
extreme_jumps,0.05,46,,0.0,0.0,191,0,0,silent_ignore
extreme_jumps,0.1,42,,0.0,0.0,382,0,0,silent_ignore
extreme_jumps,0.1,43,,0.0,0.0,382,0,0,silent_ignore
extreme_jumps,0.1,44,,0.0,0.0,382,0,0,silent_ignore
extreme_jumps,0.1,45,,0.0,0.0,382,0,0,silent_ignore
extreme_jumps,0.1,46,,0.0,0.0,382,0,0,silent_ignore
missing_values,0.01,42,1.0,1.0,1.0,228,228,228,detected
missing_values,0.01,43,1.0,1.0,1.0,223,223,223,detected
missing_values,0.01,44,1.0,1.0,1.0,226,226,226,detected
missing_values,0.01,45,1.0,1.0,1.0,223,223,223,detected
missing_values,0.01,46,1.0,1.0,1.0,225,225,225,detected
missing_values,0.05,42,1.0,1.0,1.0,1017,1017,1017,detected
missing_values,0.05,43,1.0,1.0,1.0,1010,1010,1010,detected
missing_values,0.05,44,1.0,1.0,1.0,1010,1010,1010,detected
missing_values,0.05,45,1.0,1.0,1.0,1005,1005,1005,detected
missing_values,0.05,46,1.0,1.0,1.0,1003,1003,1003,detected
missing_values,0.1,42,1.0,1.0,1.0,1789,1789,1789,detected
missing_values,0.1,43,1.0,1.0,1.0,1791,1791,1791,detected
missing_values,0.1,44,1.0,1.0,1.0,1806,1806,1806,detected
missing_values,0.1,45,1.0,1.0,1.0,1792,1792,1792,detected
missing_values,0.1,46,1.0,1.0,1.0,1791,1791,1791,detected
stale_quotes,0.01,42,,0.0,0.0,35,0,0,silent_ignore
stale_quotes,0.01,43,,0.0,0.0,35,0,0,silent_ignore
stale_quotes,0.01,44,,0.0,0.0,35,0,0,silent_ignore
stale_quotes,0.01,45,,0.0,0.0,35,0,0,silent_ignore
stale_quotes,0.01,46,,0.0,0.0,35,0,0,silent_ignore
stale_quotes,0.05,42,,0.0,0.0,185,0,0,silent_ignore
stale_quotes,0.05,43,,0.0,0.0,184,0,0,silent_ignore
stale_quotes,0.05,44,,0.0,0.0,181,0,0,silent_ignore
stale_quotes,0.05,45,,0.0,0.0,190,0,0,silent_ignore
stale_quotes,0.05,46,,0.0,0.0,183,0,0,silent_ignore
stale_quotes,0.1,42,,0.0,0.0,344,0,0,silent_ignore
stale_quotes,0.1,43,,0.0,0.0,354,0,0,silent_ignore
stale_quotes,0.1,44,,0.0,0.0,362,0,0,silent_ignore
stale_quotes,0.1,45,,0.0,0.0,344,0,0,silent_ignore
stale_quotes,0.1,46,,0.0,0.0,377,0,0,silent_ignore
