stress_def,model,metric,mean,ci_low,ci_high,n_folds_total,n_folds_valid
h10_d05,HarRvThreshold,alarm_rate,0.07022083102901135,0.02373988673139158,0.13705915181697406,22,22
h10_d05,LightGbmTuned,alarm_rate,0.03363954985177244,0.016824723785699398,0.053061102549916195,22,18
h10_d05,LogisticRegressionL2,alarm_rate,0.0632321496942943,0.03428548764541067,0.09940801500825627,22,18
h10_d05,NaiveBaseRate,alarm_rate,0.0,0.0,0.0,22,22
h10_d05,VIXPercentileCalibrated,alarm_rate,0.029642884994142915,0.0014488188976377909,0.08162338003204145,22,22
h10_d05,VIXPercentileRaw,alarm_rate,0.04916491258991738,0.009754617036506787,0.11701158921099382,22,22
h20_d07,HarRvThreshold,alarm_rate,0.07022083102901135,0.02373988673139158,0.13705915181697406,22,22
h20_d07,LightGbmTuned,alarm_rate,0.0619484563074602,0.01588623048135243,0.12297800650934891,22,18
h20_d07,LogisticRegressionL2,alarm_rate,0.08514883833872745,0.022994612508223145,0.1588588935944804,22,18
h20_d07,NaiveBaseRate,alarm_rate,0.0,0.0,0.0,22,22
h20_d07,VIXPercentileCalibrated,alarm_rate,0.0278067785872664,0.00036954915003695454,0.07868441558441559,22,22
h20_d07,VIXPercentileRaw,alarm_rate,0.04916491258991738,0.009754617036506787,0.11701158921099382,22,22
h5_d03,HarRvThreshold,alarm_rate,0.07022083102901135,0.02373988673139158,0.13705915181697406,22,22
h5_d03,LightGbmTuned,alarm_rate,0.05412305690769132,0.01735527758850932,0.1012464496491944,22,18
h5_d03,LogisticRegressionL2,alarm_rate,0.05860604031716944,0.028321478251598455,0.09438912377052393,22,18
h5_d03,NaiveBaseRate,alarm_rate,0.0,0.0,0.0,22,22
h5_d03,VIXPercentileCalibrated,alarm_rate,0.026358005138492947,0.00036954915003695454,0.07544053426248547,22,22
h5_d03,VIXPercentileRaw,alarm_rate,0.04916491258991738,0.009754617036506787,0.11701158921099382,22,22
h10_d05,HarRvThreshold,alarm_precision,0.11299533799533798,0.03671328671328671,0.20606934731934734,22,11
h10_d05,LightGbmTuned,alarm_precision,0.16666666666666666,0.0,0.3333333333333333,22,12
h10_d05,LogisticRegressionL2,alarm_precision,0.08341518425552039,0.012605042016806721,0.18650687547746364,22,14
h10_d05,NaiveBaseRate,alarm_precision,,,,22,0
h10_d05,VIXPercentileCalibrated,alarm_precision,0.05217391304347826,0.0,0.15652173913043477,22,5
h10_d05,VIXPercentileRaw,alarm_precision,0.045049019607843126,0.006666666666666659,0.1026470588235294,22,10
h20_d07,HarRvThreshold,alarm_precision,0.10162892662892663,0.03863199300699301,0.1752220002220002,22,11
h20_d07,LightGbmTuned,alarm_precision,0.17733990147783252,0.0,0.4630541871921182,22,7
h20_d07,LogisticRegressionL2,alarm_precision,0.0496589269316542,0.004132231404958673,0.11281319690410596,22,11
h20_d07,NaiveBaseRate,alarm_precision,,,,22,0
h20_d07,VIXPercentileCalibrated,alarm_precision,0.050724637681159424,0.0,0.15217391304347827,22,4
h20_d07,VIXPercentileRaw,alarm_precision,0.0188235294117647,0.0,0.05647058823529409,22,10
h5_d03,HarRvThreshold,alarm_precision,0.17694943944943942,0.09896769896769896,0.2568001443001443,22,11
h5_d03,LightGbmTuned,alarm_precision,0.14908645276292337,0.02121212121212121,0.35436051693404624,22,10
h5_d03,LogisticRegressionL2,alarm_precision,0.16736469272354437,0.07246458087367177,0.26712856521468953,22,11
h5_d03,NaiveBaseRate,alarm_precision,,,,22,0
