stress_def,model,n_calm_folds,n_days,mean_score,max_score,alarm_count,alarm_rate
h5_d03,HarRvThreshold,3,312,0.010301915978542723,0.09572713919759304,0,0.0
h5_d03,LightGbmTuned,3,378,0.2376962462615804,0.6894294788432578,0,0.0
h5_d03,LogisticRegressionL2,3,378,0.225048525551794,0.9600391015801628,7,0.018518518518518517
h5_d03,NaiveBaseRate,3,378,0.0818125119249195,0.08902077151335312,252,0.6666666666666666
h5_d03,VIXPercentileCalibrated,3,378,0.017168670523928124,0.17218543046357615,0,0.0
h5_d03,VIXPercentileRaw,3,378,0.11209105268133394,0.8724035608308606,0,0.0
h10_d05,HarRvThreshold,10,1034,0.011322792326592586,0.09572713919759304,0,0.0
h10_d05,LightGbmTuned,10,1002,0.25045993125144433,0.8709997995539547,37,0.036926147704590816
h10_d05,LogisticRegressionL2,10,1002,0.31730569380051904,0.991926468592123,72,0.0718562874251497
h10_d05,NaiveBaseRate,10,1254,0.06381270484135203,0.0797319932998325,1004,0.8006379585326954
h10_d05,VIXPercentileCalibrated,10,1254,0.04485920771059759,0.19696969696969696,6,0.004784688995215311
h10_d05,VIXPercentileRaw,10,1254,0.4118955285880542,0.9746070133010882,2,0.001594896331738437
h20_d07,HarRvThreshold,10,1036,0.014363323395038066,0.1816002200504206,1,0.0009652509652509653
h20_d07,LightGbmTuned,10,1007,0.2104140070277448,0.9997201970664653,89,0.08838133068520357
h20_d07,LogisticRegressionL2,10,1007,0.3174230356917086,0.9993752168826069,82,0.0814299900695134
h20_d07,NaiveBaseRate,10,1256,0.06456437476935087,0.08137664844001287,1256,1.0
h20_d07,VIXPercentileCalibrated,10,1256,0.044015895060374156,0.1476510067114094,14,0.011146496815286623
h20_d07,VIXPercentileRaw,10,1256,0.3675984916239639,0.9746070133010882,2,0.0015923566878980893
