stress_def,model,metric,std,ci_low,ci_high,n_folds_valid
h10_d05,HarRvThreshold,auc,0.06451320957432109,0.031790740073041515,0.08564858549088003,10
h10_d05,LightGbmTuned,auc,0.14394513197632322,0.05976988576796517,0.17883065123894093,9
h10_d05,LogisticRegressionL2,auc,0.248199363856972,0.09101162848630473,0.3312573611129401,9
h10_d05,NaiveBaseRate,auc,0.0,0.0,0.0,12
h10_d05,VIXPercentileCalibrated,auc,0.15235632487215783,0.09765051249701212,0.1814591989045743,12
h10_d05,VIXPercentileRaw,auc,0.1644287893650769,0.10969402308415042,0.19798938603921118,12
h20_d07,HarRvThreshold,auc,0.149405838463201,0.07981580413285962,0.18921879008595294,10
h20_d07,LightGbmTuned,auc,0.15455674494747104,0.0774724697496994,0.2030385585870538,9
h20_d07,LogisticRegressionL2,auc,0.26669300160442616,0.1564308277754433,0.31933761842694086,9
h20_d07,NaiveBaseRate,auc,0.0,0.0,0.0,12
h20_d07,VIXPercentileCalibrated,auc,0.18768697656953476,0.12200505565647947,0.2244791038076853,12
h20_d07,VIXPercentileRaw,auc,0.1914405469911429,0.11696638527978824,0.2325184664199946,12
h5_d03,HarRvThreshold,auc,0.11201664583809796,0.06942226860804986,0.14062755762594367,19
h5_d03,LightGbmTuned,auc,0.12891508463097087,0.0862523944276557,0.15704801923434142,14
h5_d03,LogisticRegressionL2,auc,0.1913075061090342,0.11001479855951622,0.2484583848597569,14
h5_d03,NaiveBaseRate,auc,0.0,0.0,0.0,19
h5_d03,VIXPercentileCalibrated,auc,0.13793389290546754,0.09412320400758531,0.16851452211918022,19
h5_d03,VIXPercentileRaw,auc,0.1367372424399991,0.09578729676999417,0.1668473981348769,19
h10_d05,HarRvThreshold,pr_auc,0.13634428046853392,0.08844615195256222,0.16436423637928924,10
h10_d05,LightGbmTuned,pr_auc,0.18492122030278793,0.05715245682566583,0.2701888186062591,9
h10_d05,LogisticRegressionL2,pr_auc,0.12769313178053257,0.07022401813464811,0.15513582296363823,9
h10_d05,NaiveBaseRate,pr_auc,0.1010939398837631,0.06256607783341497,0.1250946070305513,12
h10_d05,VIXPercentileCalibrated,pr_auc,0.0891341452155302,0.057468288224000616,0.10579307903262955,12
h10_d05,VIXPercentileRaw,pr_auc,0.10957810967474703,0.05528463145804099,0.13994137850226632,12
