stress_def,model,metric,mean,ci_low,ci_high,n_folds_total,n_folds_valid
h5_d03,HarRvThreshold,auc,0.503711376160423,0.49015932521087163,0.5172634271099745,2,2
h5_d03,LightGbmTuned,auc,0.5918840579710145,0.5,0.683768115942029,2,2
h5_d03,LogisticRegressionL2,auc,0.5008964986533282,0.44869565217391305,0.5530973451327433,2,2
h5_d03,NaiveBaseRate,auc,0.5,0.5,0.5,2,2
h5_d03,VIXPercentileCalibrated,auc,0.5077112992176478,0.4284660766961652,0.5869565217391304,2,2
h5_d03,VIXPercentileRaw,auc,0.497947714933094,0.4500983284169125,0.5457971014492754,2,2
h5_d03,HarRvThreshold,pr_auc,0.15404596259005704,0.10020136487085687,0.20789056030925723,2,2
h5_d03,LightGbmTuned,pr_auc,0.17349486083373045,0.13740458015267176,0.20958514151478913,2,2
h5_d03,LogisticRegressionL2,pr_auc,0.16382929996898768,0.15915302665359604,0.16850557328437932,2,2
h5_d03,NaiveBaseRate,pr_auc,0.1263945977686436,0.11538461538461539,0.13740458015267176,2,2
h5_d03,VIXPercentileCalibrated,pr_auc,0.1302794923927909,0.12419534842194546,0.13636363636363635,2,2
h5_d03,VIXPercentileRaw,pr_auc,0.13756954663639379,0.13608113177953696,0.13905796149325061,2,2
h5_d03,HarRvThreshold,brier,0.3394212224099973,0.3281257486792556,0.350716696140739,2,2
h5_d03,LightGbmTuned,brier,0.2403246733519278,0.23064935608596981,0.24999999061788578,2,2
h5_d03,LogisticRegressionL2,brier,0.2312386965076338,0.22044540790456113,0.24203198511070645,2,2
h5_d03,NaiveBaseRate,brier,0.11050555312609486,0.10230769230769231,0.11870341394449742,2,2
h5_d03,VIXPercentileCalibrated,brier,0.11398964249036297,0.09965365447407033,0.1283256305066556,2,2
h5_d03,VIXPercentileRaw,brier,0.25446223974984783,0.1321946973145198,0.3767297821851759,2,2
h5_d03,HarRvThreshold,ece,0.44451684031131855,0.40469402581901587,0.4843396548036213,2,2
h5_d03,LightGbmTuned,ece,0.36177878365197047,0.36096216039405493,0.36259540690988606,2,2
h5_d03,LogisticRegressionL2,ece,0.25608820650879416,0.2053849706253716,0.3067914423922168,2,2
h5_d03,NaiveBaseRate,ece,0.014379093892674583,0.01337357240073378,0.015384615384615385,2,2
h5_d03,VIXPercentileCalibrated,ece,0.037550042611443166,0.0016722408026755287,0.0734278444202108,2,2
h5_d03,VIXPercentileRaw,ece,0.27863710030109273,0.12328402366863904,0.43399017693354647,2,2
