asset,stress_def,model,mean_AUC,ci_AUC_low,ci_AUC_high,mean_lift,ci_lift_low,ci_lift_high,lift_above_one,n_folds_valid
NDX,h5_d03,NaiveBaseRate,0.5,0.5,0.5,,,,False,21
NDX,h5_d03,VIXPercentileRaw,0.6043579378726713,0.5503452706361972,0.6647386498795912,0.8990354637229787,0.26531888404796233,1.532752043397995,False,21
NDX,h5_d03,VIXPercentileCalibrated,0.5981788743754592,0.5473835304649725,0.6534923371832628,1.2369918136824645,0.7332575837872232,1.7407260435777059,False,21
NDX,h5_d03,HarRvThreshold,0.5153044428531158,0.44226450773713255,0.5826033211302738,0.9493947657720009,0.6176844468983687,1.2987153315101305,False,21
NDX,h5_d03,LogisticRegressionL2,0.6076840260812147,0.5499196825282642,0.6711879809093805,1.2429270589163892,0.9192404411038562,1.5341090412064424,False,21
NDX,h5_d03,LightGbmTuned,0.594281621679511,0.53969529327422,0.6501434146687981,1.5067739890645835,0.7808467923890612,2.397353096292208,False,21
NDX,h10_d05,NaiveBaseRate,0.5,0.5,0.5,,,,False,19
NDX,h10_d05,VIXPercentileRaw,0.5429730413405884,0.46174993195581304,0.6160543854690657,0.9018781608297254,0.48300127523250563,1.320755046426945,False,19
NDX,h10_d05,VIXPercentileCalibrated,0.543704985543242,0.472461395161801,0.6062222703828386,0.9461038471504682,0.4606223394827092,1.2880928115363697,False,19
NDX,h10_d05,HarRvThreshold,0.49174066685075396,0.4236535286142433,0.5662296921446914,0.8088764843321891,0.46494912171814434,1.2138707634672694,False,18
NDX,h10_d05,LogisticRegressionL2,0.5659714528018046,0.5011115087289114,0.6359068917225984,0.826932820779051,0.5677632382508717,1.128509195102593,False,19
NDX,h10_d05,LightGbmTuned,0.5441931032416337,0.473444047451098,0.6155067327000553,0.7419781190015248,0.3132371295233203,1.1889242044531774,False,19
NDX,h20_d07,NaiveBaseRate,0.5,0.5,0.5,,,,False,17
NDX,h20_d07,VIXPercentileRaw,0.45399918381193993,0.38162057246546655,0.5316969421632067,0.6612575384882007,0.31104335119279836,1.011471725783603,False,17
NDX,h20_d07,VIXPercentileCalibrated,0.46963075928735937,0.39920020304773324,0.5358360487978336,0.5941965520941997,0.33908943741658487,0.7785944247836941,False,17
NDX,h20_d07,HarRvThreshold,0.43861387674626406,0.3703244520373187,0.5117114040316281,0.6240633878708303,0.3406989118104334,0.9632331652605438,False,16
NDX,h20_d07,LogisticRegressionL2,0.47134353234127896,0.410366297976653,0.5334368769951892,0.7174207975481903,0.4241046120695747,1.0578216139637078,False,17
NDX,h20_d07,LightGbmTuned,0.45400927428386195,0.3750248283038746,0.5353913592149655,0.7412824494419783,0.5336132138392399,1.1141117851422957,False,17
RUT,h5_d03,NaiveBaseRate,0.5,0.5,0.5,,,,False,21
RUT,h5_d03,VIXPercentileRaw,0.507111656044185,0.4542687692627993,0.5620964220872956,0.6208200822485851,0.3057466990827274,0.9612458114494641,False,21
RUT,h5_d03,VIXPercentileCalibrated,0.5137360487497253,0.46689944090255525,0.5634725225732168,1.0408587613495754,1.0408587613495754,1.0408587613495754,True,21
RUT,h5_d03,HarRvThreshold,0.45330396850846744,0.40150180244338995,0.507098473714229,1.0223229781262584,0.6373938060111781,1.4153081036699178,False,21
RUT,h5_d03,LogisticRegressionL2,0.5219202178808785,0.466063574388458,0.5763853018739803,0.8208818988956059,0.40264613174559716,1.4060352493832737,False,21
RUT,h5_d03,LightGbmTuned,0.512085794112575,0.46006484304189466,0.5678144651360254,0.47554142915542597,0.25589520117743375,0.7016496125003467,False,21
RUT,h10_d05,NaiveBaseRate,0.5,0.5,0.5,,,,False,20
RUT,h10_d05,VIXPercentileRaw,0.46847361109995667,0.39102051218630945,0.5352418183340864,0.3475591053334628,0.09831179116093197,0.6260028178611816,False,20
RUT,h10_d05,VIXPercentileCalibrated,0.47043297094255754,0.400480983536775,0.5322931812426325,0.4063156300622996,0.0896443670229939,0.921797741549789,False,20
RUT,h10_d05,HarRvThreshold,0.41454460265320436,0.3593426518781666,0.47150302139106637,0.6724648736333383,0.42037472912378804,0.9318369770096706,False,20
RUT,h10_d05,LogisticRegressionL2,0.46933500882938317,0.3913383956039568,0.5437981664341531,0.5295224897284142,0.31869896130334613,0.7755254363288026,False,20
RUT,h10_d05,LightGbmTuned,0.4783269625045147,0.39596162510742,0.562549800108862,0.4820596626310022,0.3131478886726417,0.69496086534988,False,20
RUT,h20_d07,NaiveBaseRate,0.5,0.5,0.5,,,,False,19
RUT,h20_d07,VIXPercentileRaw,0.40723007654072035,0.34855740002932867,0.4644367251631015,0.2492051077700006,0.09448735025061995,0.4229221429635854,False,19
RUT,h20_d07,VIXPercentileCalibrated,0.44170386008078155,0.38362526482672327,0.49727499886322535,0.25610411277896733,0.059731463798501326,0.5854780779000696,False,19
RUT,h20_d07,HarRvThreshold,0.40498002690341867,0.3247420947229689,0.4781394954140006,0.5216707691175945,0.3305745056794273,0.7143536862361558,False,18
RUT,h20_d07,LogisticRegressionL2,0.41860164891023055,0.33727387170806494,0.500808088918098,0.6760835332656643,0.4247300689390586,0.9663489314475838,False,19
RUT,h20_d07,LightGbmTuned,0.3982582415057368,0.34158794677357196,0.45596379715454693,0.6303294048049112,0.2310066922865585,1.1409624248877417,False,19
