crisis,configuration,stress_def,model,seed,n_train,n_test,auc,auc_full_window,auc_first30,auc_rest,pr_auc,brier,ece,alarm_rate,alarm_precision,drawdown_lift,severity_lift,n_alarms,n_events,n_train_rows_after_dropna,n_trees_built,calm_mean_score,calm_max_score
crisis_2008,spx_crisis_2008,h5_d03,NaiveBaseRate,42,251,505,0.5,0.5,0.5,0.5,0.297029702970297,0.23754675589779264,0.16953966312965962,0.0,,,,0,150,231,,0.13852813852813856,0.13852813852813853
crisis_2008,spx_crisis_2008,h5_d03,NaiveBaseRate,43,251,505,0.5,0.5,0.5,0.5,0.297029702970297,0.23754675589779264,0.16953966312965962,0.0,,,,0,150,231,,0.13852813852813856,0.13852813852813853
crisis_2008,spx_crisis_2008,h5_d03,NaiveBaseRate,44,251,505,0.5,0.5,0.5,0.5,0.297029702970297,0.23754675589779264,0.16953966312965962,0.0,,,,0,150,231,,0.13852813852813856,0.13852813852813853
crisis_2008,spx_crisis_2008,h5_d03,NaiveBaseRate,45,251,505,0.5,0.5,0.5,0.5,0.297029702970297,0.23754675589779264,0.16953966312965962,0.0,,,,0,150,231,,0.13852813852813856,0.13852813852813853
crisis_2008,spx_crisis_2008,h5_d03,NaiveBaseRate,46,251,505,0.5,0.5,0.5,0.5,0.297029702970297,0.23754675589779264,0.16953966312965962,0.0,,,,0,150,231,,0.13852813852813856,0.13852813852813853
crisis_2008,spx_crisis_2008,h5_d03,VIXPercentileRaw,42,251,505,0.6554272300469483,0.6554272300469483,0.07500000000000001,0.6749786780383796,0.43077427874968865,0.5509306232920081,0.5903830223659817,0.4772277227722772,0.3900414937759336,1.3090850000124683,1.174186296298625,241,150,231,,0.7411255411255411,1.0
crisis_2008,spx_crisis_2008,h5_d03,VIXPercentileRaw,43,251,505,0.6554272300469483,0.6554272300469483,0.07500000000000001,0.6749786780383796,0.43077427874968865,0.5509306232920081,0.5903830223659817,0.4772277227722772,0.3900414937759336,1.3090850000124683,1.174186296298625,241,150,231,,0.7411255411255411,1.0
crisis_2008,spx_crisis_2008,h5_d03,VIXPercentileRaw,44,251,505,0.6554272300469483,0.6554272300469483,0.07500000000000001,0.6749786780383796,0.43077427874968865,0.5509306232920081,0.5903830223659817,0.4772277227722772,0.3900414937759336,1.3090850000124683,1.174186296298625,241,150,231,,0.7411255411255411,1.0
crisis_2008,spx_crisis_2008,h5_d03,VIXPercentileRaw,45,251,505,0.6554272300469483,0.6554272300469483,0.07500000000000001,0.6749786780383796,0.43077427874968865,0.5509306232920081,0.5903830223659817,0.4772277227722772,0.3900414937759336,1.3090850000124683,1.174186296298625,241,150,231,,0.7411255411255411,1.0
crisis_2008,spx_crisis_2008,h5_d03,VIXPercentileRaw,46,251,505,0.6554272300469483,0.6554272300469483,0.07500000000000001,0.6749786780383796,0.43077427874968865,0.5509306232920081,0.5903830223659817,0.4772277227722772,0.3900414937759336,1.3090850000124683,1.174186296298625,241,150,231,,0.7411255411255411,1.0
crisis_2008,spx_crisis_2008,h5_d03,VIXPercentileCalibrated,42,251,505,0.498075117370892,0.498075117370892,0.5,0.4979211087420043,0.2962280442756005,0.21711703699122462,0.08930316259972454,0.0,,,,0,150,231,,0.20352956167176353,0.20833333333333334
crisis_2008,spx_crisis_2008,h5_d03,VIXPercentileCalibrated,43,251,505,0.498075117370892,0.498075117370892,0.5,0.4979211087420043,0.2962280442756005,0.21711703699122462,0.08930316259972454,0.0,,,,0,150,231,,0.20352956167176353,0.20833333333333334
crisis_2008,spx_crisis_2008,h5_d03,VIXPercentileCalibrated,44,251,505,0.498075117370892,0.498075117370892,0.5,0.4979211087420043,0.2962280442756005,0.21711703699122462,0.08930316259972454,0.0,,,,0,150,231,,0.20352956167176353,0.20833333333333334
crisis_2008,spx_crisis_2008,h5_d03,VIXPercentileCalibrated,45,251,505,0.498075117370892,0.498075117370892,0.5,0.4979211087420043,0.2962280442756005,0.21711703699122462,0.08930316259972454,0.0,,,,0,150,231,,0.20352956167176353,0.20833333333333334
crisis_2008,spx_crisis_2008,h5_d03,VIXPercentileCalibrated,46,251,505,0.498075117370892,0.498075117370892,0.5,0.4979211087420043,0.2962280442756005,0.21711703699122462,0.08930316259972454,0.0,,,,0,150,231,,0.20352956167176353,0.20833333333333334
crisis_2008,spx_crisis_2008,h5_d03,HarRvThreshold,42,251,505,0.6688440960557421,0.6688440960557421,0.3280423280423281,0.6838950250165204,0.4389030552045803,0.3751637309436729,0.40474996347283015,0.4451345755693582,0.4186046511627907,1.4964250744188734,1.2088226944922529,215,141,231,,0.4377769247890859,1.0
