ablation,model,metric,delta_mean,delta_ci_low,delta_ci_high,wilcoxon_pvalue,n_folds_paired,effect_size_category,interpretation
no_validators,HarRvThreshold,auc,-0.0007824181022371,-0.001125687758431,-0.0004653506812093,1.8889663264052257e-05,50,negligible,expected_effect
no_validators,LightGbmTuned,auc,0.0134071934407901,-0.0169487831427088,0.0417727836192381,0.0511880917432224,45,medium,expected_effect
no_validators,LogisticRegressionL2,auc,0.0350848441099386,0.0139921713579768,0.057211905711985,0.0051470763930641,45,medium,paper_relevant_finding
no_validators,NaiveBaseRate,auc,0.0,0.0,0.0,1.0,60,negligible,no_effect_by_construction
no_validators,VIXPercentileCalibrated,auc,-0.0002866972477064,-0.0005733944954128,-5.733944954127989e-05,0.1906835034469295,60,negligible,expected_effect
no_validators,VIXPercentileRaw,auc,2.0816681711721685e-17,1.2490009027033013e-17,3.0068540250264654e-17,6.55566199986336e-05,60,negligible,no_effect_by_construction
no_validators,HarRvThreshold,pr_auc,-0.0001176117858985,-0.0001568488576704,-8.029555558033714e-05,9.421066717523294e-05,50,negligible,expected_effect
no_validators,LightGbmTuned,pr_auc,0.040922334873546,0.0235298099383176,0.0586242539338753,0.0001361714213404,45,medium,expected_effect
no_validators,LogisticRegressionL2,pr_auc,0.012964735109406,-0.0149760679667614,0.0424506866018549,0.1661407682706605,45,medium,expected_effect
no_validators,NaiveBaseRate,pr_auc,3.353798720221827e-17,2.463307335887066e-17,4.278984574076125e-17,2.1892079240620602e-07,60,negligible,no_effect_by_construction
no_validators,VIXPercentileCalibrated,pr_auc,-2.8452606660421546e-05,-0.0001158857932452,5.329005859231832e-05,0.0030106546241967,60,negligible,expected_effect
no_validators,VIXPercentileRaw,pr_auc,4.510281037539698e-17,3.874215763014869e-17,5.088522196198634e-17,2.456895084695567e-10,60,negligible,no_effect_by_construction
no_validators,HarRvThreshold,brier,3.3345957980964275e-06,6.90516329392108e-07,6.443854091956345e-06,0.3140437401789995,110,negligible,expected_effect
no_validators,LightGbmTuned,brier,0.0037008619622334,-0.0004621412544151,0.0078002737841066,0.02356489869159,90,small,expected_effect
no_validators,LogisticRegressionL2,brier,0.0039632481766784,-0.0054452332162648,0.0131345587786476,0.168013273964406,90,small,expected_effect
no_validators,NaiveBaseRate,brier,1.9087509348927875e-05,-1.611911458222243e-05,5.520581918638551e-05,0.7826014833173217,110,negligible,expected_effect
no_validators,VIXPercentileCalibrated,brier,6.378301141642692e-06,-3.0042164921634026e-05,4.485507633158967e-05,0.3993926003020269,110,negligible,expected_effect
no_validators,VIXPercentileRaw,brier,-0.000323731391064,-0.0006571266595203,8.048209648682837e-06,0.1631463238084083,110,negligible,expected_effect
