corruption_type,rate,model,metric,delta_mean,delta_ci_low,delta_ci_high,wilcoxon_pvalue,n_pairs
calendar_gaps,0.01,LightGbmTuned,alarm_rate,0.0,0.0,0.0,1.0,450
calendar_gaps,0.01,LightGbmTuned,auc,0.0,0.0,0.0,1.0,225
calendar_gaps,0.01,LightGbmTuned,brier,0.0,0.0,0.0,1.0,450
calendar_gaps,0.01,LightGbmTuned,drawdown_lift,0.0,0.0,0.0,1.0,290
calendar_gaps,0.01,LightGbmTuned,pr_auc,0.0,0.0,0.0,1.0,225
calendar_gaps,0.01,LogisticRegressionL2,alarm_rate,0.0,0.0,0.0,1.0,450
calendar_gaps,0.01,LogisticRegressionL2,auc,0.0,0.0,0.0,1.0,225
calendar_gaps,0.01,LogisticRegressionL2,brier,0.0,0.0,0.0,1.0,450
calendar_gaps,0.01,LogisticRegressionL2,drawdown_lift,0.0,0.0,0.0,1.0,350
calendar_gaps,0.01,LogisticRegressionL2,pr_auc,0.0,0.0,0.0,1.0,225
calendar_gaps,0.05,LightGbmTuned,alarm_rate,0.0,0.0,0.0,1.0,455
calendar_gaps,0.05,LightGbmTuned,auc,0.0,0.0,0.0,1.0,220
calendar_gaps,0.05,LightGbmTuned,brier,0.0,0.0,0.0,1.0,455
calendar_gaps,0.05,LightGbmTuned,drawdown_lift,0.0,0.0,0.0,1.0,305
calendar_gaps,0.05,LightGbmTuned,pr_auc,0.0,0.0,0.0,1.0,220
calendar_gaps,0.05,LogisticRegressionL2,alarm_rate,0.0,0.0,0.0,1.0,455
calendar_gaps,0.05,LogisticRegressionL2,auc,0.0,0.0,0.0,1.0,220
calendar_gaps,0.05,LogisticRegressionL2,brier,0.0,0.0,0.0,1.0,455
calendar_gaps,0.05,LogisticRegressionL2,drawdown_lift,0.0,0.0,0.0,1.0,340
calendar_gaps,0.05,LogisticRegressionL2,pr_auc,0.0,0.0,0.0,1.0,220
calendar_gaps,0.1,LightGbmTuned,alarm_rate,0.0,0.0,0.0,1.0,435
calendar_gaps,0.1,LightGbmTuned,auc,0.0,0.0,0.0,1.0,200
calendar_gaps,0.1,LightGbmTuned,brier,0.0,0.0,0.0,1.0,435
