corruption_type,rate,metric,mean,ci_low,ci_high,n_seeds,gap_mechanism
calendar_gaps,0.01,precision,,,,5,removed_before_inspection
calendar_gaps,0.01,recall,,,,5,removed_before_inspection
calendar_gaps,0.01,f1,,,,5,removed_before_inspection
calendar_gaps,0.05,precision,,,,5,removed_before_inspection
calendar_gaps,0.05,recall,,,,5,removed_before_inspection
calendar_gaps,0.05,f1,,,,5,removed_before_inspection
calendar_gaps,0.1,precision,,,,5,removed_before_inspection
calendar_gaps,0.1,recall,,,,5,removed_before_inspection
calendar_gaps,0.1,f1,,,,5,removed_before_inspection
duplicate_dates,0.01,precision,1.0,1.0,1.0,5,detected
duplicate_dates,0.01,recall,1.0,1.0,1.0,5,detected
duplicate_dates,0.01,f1,1.0,1.0,1.0,5,detected
duplicate_dates,0.05,precision,1.0,1.0,1.0,5,detected
duplicate_dates,0.05,recall,1.0,1.0,1.0,5,detected
duplicate_dates,0.05,f1,1.0,1.0,1.0,5,detected
duplicate_dates,0.1,precision,1.0,1.0,1.0,5,detected
duplicate_dates,0.1,recall,1.0,1.0,1.0,5,detected
duplicate_dates,0.1,f1,1.0,1.0,1.0,5,detected
extreme_jumps,0.01,precision,,,,5,silent_ignore
extreme_jumps,0.01,recall,0.0,0.0,0.0,5,silent_ignore
extreme_jumps,0.01,f1,0.0,0.0,0.0,5,silent_ignore
extreme_jumps,0.05,precision,,,,5,silent_ignore
extreme_jumps,0.05,recall,0.0,0.0,0.0,5,silent_ignore
extreme_jumps,0.05,f1,0.0,0.0,0.0,5,silent_ignore
extreme_jumps,0.1,precision,,,,5,silent_ignore
extreme_jumps,0.1,recall,0.0,0.0,0.0,5,silent_ignore
extreme_jumps,0.1,f1,0.0,0.0,0.0,5,silent_ignore
missing_values,0.01,precision,1.0,1.0,1.0,5,detected
missing_values,0.01,recall,1.0,1.0,1.0,5,detected
missing_values,0.01,f1,1.0,1.0,1.0,5,detected
missing_values,0.05,precision,1.0,1.0,1.0,5,detected
missing_values,0.05,recall,1.0,1.0,1.0,5,detected
missing_values,0.05,f1,1.0,1.0,1.0,5,detected
missing_values,0.1,precision,1.0,1.0,1.0,5,detected
missing_values,0.1,recall,1.0,1.0,1.0,5,detected
missing_values,0.1,f1,1.0,1.0,1.0,5,detected
stale_quotes,0.01,precision,,,,5,silent_ignore
stale_quotes,0.01,recall,0.0,0.0,0.0,5,silent_ignore
stale_quotes,0.01,f1,0.0,0.0,0.0,5,silent_ignore
stale_quotes,0.05,precision,,,,5,silent_ignore
stale_quotes,0.05,recall,0.0,0.0,0.0,5,silent_ignore
stale_quotes,0.05,f1,0.0,0.0,0.0,5,silent_ignore
stale_quotes,0.1,precision,,,,5,silent_ignore
stale_quotes,0.1,recall,0.0,0.0,0.0,5,silent_ignore
stale_quotes,0.1,f1,0.0,0.0,0.0,5,silent_ignore
